fare,age,embarked,pclass,sex,species,Survived
7.8292,34.5,2,3,1,F,0
7,47,1,3,0,F,0
9.6875,62,2,2,1,F,0
8.6625,27,1,3,1,T,1
12.2875,22,1,3,0,F,0
9.225,14,1,3,1,F,0
7.6292,30,2,3,0,F,0
29,26,1,2,1,F,0
7.2292,18,0,3,0,T,1
24.15,21,1,3,1,F,0
7.8958,32,1,3,1,F,0
26,46,1,1,1,F,0
82.2667,23,1,1,0,T,1
26,63,1,2,1,F,0
61.175,47,1,1,0,T,1
27.7208,24,0,2,0,T,1
12.35,35,2,2,1,F,0
7.225,21,0,3,1,T,1
7.925,27,1,3,0,F,0
7.225,45,0,3,0,T,1
59.4,55,0,1,1,T,1
3.1708,9,1,3,1,F,0
31.6833,35,1,1,0,T,1
61.3792,21,0,1,1,F,0
262.375,48,0,1,0,T,1
14.5,50,1,3,1,F,0
61.9792,22,0,1,0,T,1
7.225,22.5,0,3,1,T,1
30.5,41,1,1,1,T,1
21.6792,32,0,3,1,F,0
26,50,1,2,1,F,0
31.5,24,1,2,1,F,0
20.575,33,1,3,0,T,1
23.45,35,1,3,0,F,0
57.75,30,0,1,1,T,1
7.2292,18.5,0,3,1,T,1
8.05,21,1,3,0,F,0
8.6625,21,1,3,0,F,0
9.5,25,1,3,1,F,0
56.4958,32,1,3,1,T,1
13.4167,39,0,3,1,F,0
26.55,32,1,1,1,T,1
7.85,41,1,3,1,F,0
13,30,1,2,0,T,1
52.5542,45,1,1,0,T,1
7.925,25,1,3,1,F,0
29.7,45,0,1,1,T,1
7.75,32,2,3,1,F,0
76.2917,60,0,1,0,T,1
15.9,36,1,3,0,T,1
60,24,1,1,1,F,0
15.0333,27,0,2,1,F,0
23,20,1,2,0,T,1
263,28,1,1,0,T,1
15.5792,32,0,2,1,F,0
29.125,10,2,3,1,F,0
7.8958,35,1,3,1,F,0
7.65,25,1,3,1,F,0
16.1,32,1,3,1,F,0
262.375,36,0,1,0,T,1
7.8958,17,1,3,1,F,0
13.5,32,1,2,1,F,0
7.75,18,1,3,1,F,0
7.725,22,2,3,0,T,1
262.375,13,0,1,1,T,1
21,35,1,2,0,T,1
7.8792,18,2,3,0,T,1
42.4,47,1,1,1,F,0
28.5375,31,0,1,1,F,0
263,60,1,1,0,T,1
7.75,24,2,3,0,T,1
7.8958,21,1,3,1,F,0
7.925,29,1,3,0,F,0
27.7208,28.5,0,1,1,F,0
211.5,35,0,1,0,T,1
211.5,32.5,0,1,1,F,0
8.05,32,1,3,1,F,0
25.7,55,1,1,0,T,1
13,30,1,2,1,F,0
7.75,24,2,3,0,T,1
15.2458,6,0,3,1,T,1
221.7792,67,1,1,1,F,0
26,49,1,1,1,F,0
7.8958,32,1,3,1,F,0
10.7083,32,2,2,1,F,0
14.4542,32,0,3,1,F,0
7.8792,27,2,3,0,T,1
8.05,18,1,3,0,F,0
7.75,35,2,3,0,F,0
23,2,1,2,1,T,1
13.9,22,1,3,0,F,0
7.775,32,1,3,1,F,0
52,27,1,1,0,T,1
8.05,32,1,3,1,F,0
26,25,0,1,1,F,0
7.7958,25,1,3,1,F,0
78.85,76,1,1,0,T,1
7.925,29,1,3,1,F,0
7.8542,20,1,3,0,F,0
8.05,33,1,3,1,F,0
55.4417,43,0,1,0,T,1
26,27,1,2,1,F,0
7.75,32,2,3,1,F,0
7.775,26,1,3,1,F,0
8.5167,16,0,3,0,T,1
22.525,28,1,3,1,F,0
7.8208,21,2,3,1,F,0
7.75,32,2,3,1,F,0
8.7125,32,1,3,1,F,0
13,18.5,1,2,1,F,0
15.0458,41,0,2,1,F,0
7.7792,21,2,3,0,T,1
31.6792,36,0,1,0,T,1
7.2833,18.5,2,3,0,F,0
221.7792,63,1,1,0,T,1
14.4542,18,0,3,1,F,0
6.4375,32,0,3,1,F,0
16.7,1,1,3,0,T,1
75.2417,36,0,1,1,F,0
26,29,1,2,0,T,1
15.75,12,1,2,0,T,1
7.75,32,2,3,1,F,0
57.75,35,0,1,0,T,1
7.25,28,1,3,1,F,0
7.75,32,2,3,1,F,0
16.1,17,1,3,0,T,1
7.7958,22,1,3,1,F,0
23.25,21,2,3,0,T,1
13,42,1,2,1,F,0
8.05,24,1,3,1,F,0
8.05,32,1,3,1,F,0
28.5,53,0,1,1,F,0
25.4667,35,1,3,0,F,0
6.4375,32,0,3,1,F,0
7.8958,43,1,3,1,F,0
7.8542,24,1,3,1,F,0
7.225,26.5,0,3,1,F,0
13,26,1,2,1,F,0
8.05,23,1,3,0,F,0
46.9,40,1,3,1,F,0
46.9,10,1,3,0,F,0
151.55,33,1,1,0,T,1
262.375,61,0,1,1,F,0
26,28,1,2,1,F,0
26.55,42,1,1,1,T,1
18,31,1,3,1,F,0
51.8625,32,1,1,1,F,0
8.05,22,1,3,1,F,0
26.55,32,1,1,1,T,1
26,30,1,2,1,F,0
83.1583,23,0,1,0,T,1
7.8958,32,0,3,1,F,0
,60.5,1,3,1,F,0
12.1833,36,1,3,0,T,1
31.3875,13,1,3,1,F,0
7.55,24,1,3,1,F,0
221.7792,29,1,1,0,T,1
7.8542,23,1,3,0,T,1
26.55,42,1,1,1,T,1
13.775,26,1,3,0,T,1
7.7333,21,2,3,0,T,1
15.2458,7,0,3,1,T,1
13.5,26,1,2,0,T,1
7,32,1,3,1,F,0
13,41,1,2,1,F,0
22.025,26,1,3,0,F,0
50.4958,48,0,1,1,F,0
34.375,18,1,3,1,F,0
27.7208,35,0,1,0,T,1
8.9625,22,1,3,0,F,0
7.55,32,1,3,1,F,0
7.225,27,0,3,1,F,0
13.9,23,1,3,1,F,0
7.2292,32,0,3,1,F,0
31.3875,40,1,3,1,F,0
39,15,1,2,0,T,1
36.75,20,1,2,0,T,1
55.4417,54,0,1,1,T,1
39,36,1,2,0,T,1
83.1583,64,0,1,0,T,1
13,30,1,2,1,F,0
83.1583,37,0,1,1,F,0
53.1,18,1,1,0,T,1
7.75,32,2,3,1,F,0
247.5208,27,0,1,0,T,1
16,40,1,2,1,F,0
21,21,1,2,0,T,1
8.05,17,1,3,1,F,0
69.55,21,1,3,0,F,0
13,40,1,2,1,F,0
26,34,1,2,1,F,0
26,32,1,1,1,F,0
14.5,11.5,1,3,1,T,1
12.35,61,2,2,1,F,0
32.5,8,1,2,1,T,1
7.8542,33,1,3,1,F,0
134.5,6,0,1,1,T,1
7.775,18,1,3,0,F,0
10.5,23,1,2,1,F,0
8.1125,35,1,3,0,F,0
15.5,21,2,3,0,T,1
14.4,0.33,1,3,1,T,1
227.525,47,0,1,1,F,0
26,8,1,2,0,T,1
10.5,25,1,2,1,F,0
25.7417,32,0,1,1,F,0
7.75,35,2,3,0,F,0
10.5,24,1,2,1,F,0
27.7208,33,0,1,0,T,1
7.8958,25,1,3,1,F,0
22.525,32,1,3,1,F,0
7.05,32,1,3,1,F,0
73.5,17,1,2,1,F,0
26,60,1,2,0,F,0
7.775,38,1,3,0,F,0
42.5,42,1,1,1,F,0
7.8792,21,2,3,0,T,1
164.8667,57,1,1,1,F,0
211.5,50,0,1,0,T,1
8.05,32,1,3,1,F,0
13.8583,30,0,2,0,T,1
8.05,21,1,3,1,F,0
10.5,22,1,2,0,T,1
7.7958,21,1,3,1,T,1
27.4458,53,0,1,0,T,1
15.2458,35,0,3,0,F,0
7.7958,23,1,3,1,F,0
7.75,21,2,3,0,T,1
15.1,40.5,1,3,1,F,0
13,36,1,2,1,F,0
65,14,1,2,1,F,0
26.55,21,1,1,0,T,1
6.4958,21,1,3,1,F,0
7.8792,32,2,3,1,F,0
71.2833,39,0,1,1,T,1
7.8542,20,1,3,1,F,0
75.25,64,0,1,1,T,1
7.225,20,0,3,1,T,1
13,18,1,2,0,T,1
106.425,48,0,1,0,T,1
27.7208,55,0,1,0,T,1
30,45,1,2,0,T,1
134.5,45,0,1,1,F,0
7.8875,32,1,3,1,F,0
23.45,5,1,3,1,T,1
51.8625,41,1,1,1,F,0
21,22,1,2,0,T,1
32.5,42,1,2,1,F,0
26,29,1,2,0,T,1
14.4542,35,0,3,0,F,0
27.75,0.92,1,2,0,T,1
7.925,20,1,3,1,F,0
136.7792,27,0,1,1,T,1
9.325,24,1,3,1,F,0
9.5,32.5,1,3,1,F,0
7.55,32,1,3,1,F,0
7.75,32,2,3,1,F,0
8.05,28,1,3,1,F,0
13,19,1,2,0,T,1
7.775,21,1,3,1,F,0
17.4,36.5,1,3,1,F,0
7.8542,21,1,3,1,F,0
23,29,1,2,0,T,1
12.1833,1,1,3,0,T,1
12.7375,30,0,2,1,F,0
7.8958,32,1,3,1,F,0
0,32,1,1,1,F,0
7.55,32,1,3,1,F,0
8.05,21,1,3,0,F,0
8.6625,17,1,3,1,F,0
75.2417,46,0,1,1,F,0
7.75,32,2,3,1,F,0
136.7792,26,0,1,0,T,1
15.5,21,2,3,0,T,1
7.225,32,0,3,1,F,0
26,20,1,2,0,T,1
10.5,28,1,2,1,F,0
26,40,1,2,1,F,0
21,30,1,2,1,F,0
10.5,22,1,2,1,F,0
8.6625,23,1,3,0,F,0
13.775,0.75,1,3,1,T,1
7.75,21,2,3,0,T,1
15.2458,9,0,3,0,F,0
20.2125,2,1,3,0,T,1
7.25,36,1,3,1,F,0
7.25,32,1,3,1,F,0
82.2667,24,1,1,1,F,0
7.2292,32,0,3,1,F,0
8.05,32,1,3,1,F,0
39.6,32,1,1,1,F,0
6.95,30,2,3,0,F,0
7.2292,32,0,3,1,F,0
81.8583,53,1,1,1,F,0
9.5,36,1,3,1,F,0
7.8958,26,1,3,1,F,0
41.5792,1,0,2,0,T,1
21.6792,32,0,3,1,F,0
45.5,30,1,1,1,F,0
7.8542,29,1,3,1,F,0
7.775,32,1,3,1,F,0
15.0458,32,0,2,1,F,0
21,43,1,2,1,F,0
8.6625,24,1,3,1,F,0
7.75,21,2,3,0,T,1
26.55,64,1,1,0,T,1
151.55,30,1,1,1,T,1
9.35,0.83,1,3,1,T,1
93.5,55,1,1,1,F,0
14.1083,45,1,3,0,F,0
8.6625,18,1,3,1,F,0
7.225,22,0,3,1,T,1
7.575,32,1,3,1,F,0
7.75,37,2,3,0,F,0
135.6333,55,0,1,0,T,1
7.7333,17,2,3,0,T,1
146.5208,57,0,1,1,F,0
10.5,19,1,2,1,F,0
7.8542,27,1,3,1,F,0
31.5,22,1,2,1,F,0
7.775,26,1,3,1,F,0
7.2292,25,0,3,1,F,0
13,26,1,2,1,F,0
26.55,33,1,1,1,T,1
211.3375,39,1,1,0,T,1
7.05,23,1,3,1,F,0
39,12,1,2,0,T,1
79.2,46,0,1,1,F,0
26,29,1,2,1,F,0
13,21,1,2,1,F,0
36.75,48,1,2,0,T,1
29.7,39,0,1,1,T,1
7.225,32,0,3,1,F,0
15.7417,19,0,3,0,T,1
7.8958,27,1,3,1,F,0
26,30,1,1,1,F,0
13,32,1,2,1,T,1
7.2292,39,0,3,1,F,0
31.5,25,1,2,1,F,0
7.2292,5,0,3,1,T,1
10.5,18,1,2,1,F,0
7.5792,32,1,3,1,F,0
69.55,32,1,3,1,F,0
512.3292,58,0,1,0,T,1
14.5,5,1,3,1,T,1
7.65,16,1,3,0,T,1
13,26,1,2,1,F,0
7.2292,38,0,3,0,T,1
13.5,24,1,2,1,F,0
21,31,1,2,0,T,1
63.3583,45,0,1,0,T,1
10.5,25,1,2,1,F,0
73.5,18,1,2,1,F,0
65,49,1,2,1,F,0
20.575,0.17,1,3,0,T,1
26,50,1,1,1,F,0
51.4792,59,1,1,0,T,1
7.8792,32,1,3,1,F,0
7.75,32,2,3,1,F,0
15.55,30,1,3,0,F,0
69.55,14.5,1,3,1,F,0
37.0042,24,0,2,0,T,1
21,31,1,2,0,T,1
8.6625,27,1,3,1,T,1
55.4417,25,0,1,0,T,1
69.55,35,1,3,0,F,0
14.4583,32,0,3,1,F,0
39.6875,22,1,3,0,T,1
59.4,45,0,1,0,T,1
13.8583,29,0,2,1,T,1
11.5,21,1,2,1,F,0
134.5,31,0,1,0,T,1
0,49,1,1,1,F,0
13,44,1,2,1,F,0
81.8583,54,1,1,0,T,1
262.375,45,0,1,0,T,1
8.6625,22,1,3,0,F,0
11.5,21,1,2,1,F,0
50,55,1,1,1,F,0
31.3875,5,1,3,1,F,0
7.75,32,2,3,1,F,0
7.8792,26,2,3,1,F,0
14.5,35,1,3,0,T,1
16.1,19,1,3,0,F,0
12.875,32,1,2,1,T,1
65,24,1,2,0,T,1
7.775,24,1,3,1,F,0
13,57,1,2,1,F,0
7.75,21,2,3,1,F,0
21.075,6,1,3,1,F,0
93.5,23,1,1,1,F,0
39.4,51,1,1,0,T,1
20.25,13,1,3,1,F,0
10.5,47,1,2,1,F,0
22.025,29,1,3,1,F,0
60,18,1,1,0,T,1
7.25,24,2,3,1,F,0
79.2,48,0,1,0,T,1
7.775,22,1,3,1,F,0
7.7333,31,2,3,1,F,0
164.8667,30,1,1,0,T,1
21,38,1,2,1,F,0
59.4,22,0,1,0,T,1
47.1,17,1,1,1,F,0
27.7208,43,0,1,1,F,0
13.8625,20,0,2,1,F,0
10.5,23,1,2,1,F,0
211.5,50,0,1,1,F,0
7.7208,21,2,3,0,T,1
13.775,3,1,3,0,T,1
7.75,21,2,3,0,T,1
90,37,2,1,0,T,1
7.775,28,1,3,0,F,0
8.05,32,1,3,1,F,0
108.9,39,0,1,0,T,1
7.25,38.5,1,3,1,F,0
8.05,32,1,3,1,F,0
22.3583,5,0,3,1,T,1
